; Constellation figure definitions for SkyMap Pro 8.
;
; Taken from the constellation maps from Antonín Rükl from
; "Souhvezdí", published by Artia, Prague in 1971 and from second book
; with unknown original title (spanish translated title is "Estrellas y
; Planetas") published 1988 by Artia, Prague in 1988.
;
; Prepared for SkyMap Pro 8 by Ben Siemerink in December 2001.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a Tycho catalog number, if it refers to a star, or
; 0 for a command. The catalog number has the form:
;
;   ZZZZNNNNNP
;
; where:
;   ZZZZ    Tycho zone.
;   NNNNN   Star number within the zone.
;   P       Proximity flag.
;
; Commands are:
;   0   Move to "data"
;   1   Draw from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   Start of constellation "data".  Data is constellation index.
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

0046016331 1	draw to delta
4693011441 1	draw to omicron
5278024371 1	draw to zeta
5274019841 1	draw to theta
5273026571 1	draw to eta
5847023331 1	draw to beta
5261010841 1	draw to iota
5273026571 1	draw to eta
5278024371 0	move to zeta
5855022921 1	draw to tau
5858020531 1	draw to upsilon
0000000000 2	end

; Chamaeleon

9398027141 0	move to alpha
9401017141 1	draw to gamma
9420015431 1	draw to beta
9418026531 1	draw to delta 2
9398027151 1	draw to theta
9398027141 1	draw to alpha
0000000000 2	end

; Circinus

8707019901 0	move to gamma
9015014451 1	draw to alpha
8706010611 1	draw to beta
0000000000 2	end

; Columba

7063011791 0	move to epsilon
7064013571 1	draw to alpha
7069014821 1	draw to beta
7066020241 1	draw to gamma
7077020601 1	draw to delta
7069014821 0	move to beta
7606009891 1	draw to eta
0000000000 2	end

; Coma Berenices

1454011341 0	move to alpha
1996024001 1	draw to beta
1991018951 1	draw to gamma
0000000000 2	end

; Corona Australis

7421022961 0	move to epsilon
7422017371 1	draw to gamma
7917026531 1	draw to alpha
7918015241 1	draw to beta
7921028561 1	draw to delta
7925027951 1	draw to zeta
7927019501 1	draw to eta 2
7910015701 1	draw to theta
7906015571 1	draw to 7906-1557-1
7915016731 1	draw to lambda
0000000000 2	end

; Corona Borealis

2564016291 0	move to theta
2032016051 1	draw to beta
2029016901 1	draw to alpha
2036016741 1	draw to gamma
2037018271 1	draw to delta
2037018261 1	draw to epsilon
2041018051 1	draw to iota
0000000000 2	end

; Corvus

6672009951 0	move to alpha
6668009921 1	draw to epsilon
6098017541 1	draw to gamma
6103023951 1	draw to delta
6683011161 1	draw to beta
6668009921 1	draw to epsilon
0000000000 2	end

; Crater

6094015321 0	move to eta
6096020321 1	draw to zeta
6088021551 1	draw to gamma
5514014231 1	draw to delta
5512013891 1	draw to epsilon
5510015081 1	draw to theta
6088021551 0	move to gamma
6649012741 1	draw to beta
6079019011 0	move to alpha
5514014231 1	draw to delta
0000000000 2	end

; Crux

8979034641 0	move to alpha
8654034221 1	draw to gamma
8659031071 0	move to beta
8645022631 1	draw to delta
0000000000 2	end

; Cygnus

3920019711 0	move to kappa
3555021121 1	draw to iota
3564031571 1	draw to theta
3557024861 1	draw to delta
3156022231 1	draw to gamma
2695041391 1	draw to epsilon
2702027641 1	draw to zeta
3574033471 0	move to alpha
3156022231 1	draw to gamma
2677018161 1	draw to eta
2133029641 1	draw to beta
0000000000 2	end

; Delphinus

1096016841 0	move to epsilon
1096016821 1	draw to eta
1100017201 1	draw to beta
1634030551 1	draw to delta
1634030561 1	draw to gamma 1
1633024421 1	draw to alpha
1100017201 1	draw to beta
0000000000 2	end

; Dorado

8075017961 0	move to gamma
8512021151 1	draw to alpha
8883016411 1	draw to beta
8904015221 1	draw to delta
0000000000 2	end

; Draco

3910017101 0	move to xi
3892016201 1	draw to nu 1
3521018001 1	draw to beta
3523016841 1	draw to gamma
3910017101 1	draw to xi
4444022391 1	draw to delta
4449026521 1	draw to epsilon
4456021071 1	draw to tau
4437014911 1	draw to chi
4210010481 1	draw to zeta
4190025681 1	draw to eta
3883015431 1	draw to theta
3875016201 1	draw to iota
4174012621 1	draw to alpha
4394018701 1	draw to kappa
4542027961 1	draw to 4542-2796-1
4547023231 1	draw to 4547-2323-1
0000000000 2	end

; Equuleus

0536023541 0	move to alpha
0541019321 1	draw to beta
1109025831 1	draw to delta
1108025831 1	draw to gamma
0521028141 1	draw to epsilon (1)
0536023541 1	draw to alpha
0000000000 2	end

; Eridanus

4759016711 0	move to beta
4740019161 1	draw to mu
4738014841 1	draw to nu
4732019701 1	draw to omicron 1
5311012851 1	draw to gamma
5307013571 1	draw to pi
5303013201 1	draw to delta
5296015331 1	draw to epsilon
5295012591 1	draw to zeta
5287010761 1	draw to eta
5866010501 1	draw to tau 1
5870010281 1	draw to tau 2
6438011101 1	draw to tau 3
5878012921 1	draw to tau 4
5880012661 1	draw to tau 5
6448013701 1	draw to tau 6
6448013711 1	draw to tau 7
6448013721 1	draw to tau 8
6455012681 1	draw to tau 9
6470012421 1	draw to upsilon 1
7038015091 1	draw to upsilon 2
7041016051 1	draw to 43 (upsilon 3)
7040015341 1	draw to 41 (upsilon 4)
7035013741 1	draw to g
7034013111 1	draw to h (7034-1311-1)
7572017481 1	draw to y (7572-1748-1)
7567011831 1	draw to e
7563010161 1	draw to theta
7559011601 1	draw to iota
7558009871 1	draw to s
8052013801 1	draw to kappa
8055012701 1	draw to phi
8047013211 1	draw to chi
8478013951 1	draw to alpha
0000000000 2	end

; Fornax

6445009901 0	move to alpha
7012010191 1	draw to beta
6432023291 1	draw to nu
0000000000 2	end

; Gemini

1878014291 0	move to mu
1877017161 1	draw to eta
1864020111 1	draw to 1
2444011131 1	draw to theta
2452021671 1	draw to rho
2457024071 1	draw to alpha
1920021941 1	draw to beta
1916021561 1	draw to kappa
1359026721 1	draw to delta
1353015501 1	draw to zeta
1329017461 1	draw to gamma
1336018121 1	draw to nu
1878014291 1	draw to mu
1897016391 1	draw to epsilon
1918023391 1	draw to iota
1919021091 1	draw to upsilon
1920021941 1	draw to beta
0000000000 2	end

; Grus

7494017481 0	move to gamma
7995013431 1	draw to lambda
7999015691 1	draw to mu 1
