; Original constellation figure definitions for SkyMap Pro.
; Copyright Y C.A.Marriott 1998.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a PPM catalog number if it refers to a star.
; Commands are:
;   0   Move to "data"
;   1   Draw a solid line from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   (not used)
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

022755 1        draw to alpha
010863 1        draw to beta
011709 1        draw to gamma
023981 1        draw to iota
010863 1        draw to beta
023981 0        move to iota
040731 1        draw to delta
040311 1        draw to zeta
023173 1        draw to nu
040311 0        move to zeta
040404 1        draw to epsilon
039787 1        draw to mu
022755 1        draw to alpha
000000 2        end

; Cetus

400042 0        move to gamma
146172 1        draw to alpha
146124 1        draw to lambda
118503 1        draw to mu
145611 1        draw to xi 2
145738 1        draw to nu
400042 1        draw to gamma
145784 1        draw to delta
184482 1        draw to omicron
210734 1        draw to zeta
183392 1        draw to theta
182115 1        draw to iota
209214 1        draw to beta
210580 1        draw to tau
209214 0        move to beta
244533 1        draw to upsilon
145784 1        draw to delta
000000 2        end

; Chamaeleon

369878 0        move to alpha
370783 1        draw to gamma
371459 1        draw to beta
377263 1        draw to delta 2
369901 1        draw to theta
369878 1        draw to alpha
000000 2        end

; Circinus

343673 0        move to gamma
360934 1        draw to alpha
343590 1        draw to beta
000000 2        end

; Columba

281547 0        move to epsilon
281732 1        draw to alpha
281952 1        draw to beta
282087 1        draw to gamma
282461 1        draw to kappa
282573 1        draw to delta
281952 0        move to beta
310277 1        draw to eta
000000 2        end

; Coma Berenices

129630 0        move to alpha
102444 1        draw to beta
101903 1        draw to gamma
102444 0        move to beta
101896 5        draw to 14
102444 0        move to beta
101904 5        draw to 16
102444 0        move to beta
101845 5        draw to 12
102444 0        move to beta
101933 5        draw to 18
000000 2        end

; Corona Australis

298401 0        move to epsilon
298559 1        draw to gamma
298624 1        draw to alpha
298639 1        draw to beta
324808 1        draw to delta
324720 1        draw to zeta
324590 1        draw to unnamed
324480 1        draw to eta 2
000000 2        end

; Corona Borealis

078669 0        move to theta
104044 1        draw to beta
104146 1        draw to alpha
104258 1        draw to gamma
104349 1        draw to delta
104451 1        draw to epsilon
104529 1        draw to iota
000000 2        end

; Corvus

259912 0        move to alpha
259949 1        draw to epsilon
225593 1        draw to gamma
225920 1        draw to delta
225971 1        draw to eta
225920 0        move to delta
260189 1        draw to zeta
259949 1        draw to epsilon
260189 0        move to zeta
260512 1        draw to beta
000000 2        end

/; 

225124 0        move to eta
224852 1        draw to zeta
224369 1        draw to gamma
224248 1        draw to delta
224361 1        draw to epsilon
194645 1        draw to theta
225124 1        draw to eta
224369 0        move to gamma
258664 1        draw to beta
223763 1        draw to alpha
224248 1        draw to delta
000000 2        end

; Crux

359410 0        move to alpha
341058 1        draw to gamma
341305 0        move to beta
340824 1        draw to delta
000000 2        end

; Cygnus

037265 0        move to kappa
037459 1        draw to iota
037578 1        draw to theta
058782 1        draw to delta
059799 1        draw to gamma
085489 1        draw to epsilon
086219 1        draw to zeta
060744 1        draw to nu
060323 1        draw to alpha
059586 1        draw to omicron 2
037265 1        draw to kappa
060323 0        move to alpha
060925 1        draw to Xi
060744 0        move to nu
086327 1        draw to sigma
109139 0        move to beta
083853 1        draw to eta
059799 1        draw to gamma
060323 1        draw to alpha
000000 2        end

; Delphinus

138578 0        move to epsilon
138772 1        draw to kappa
138730 1        draw to iota
138761 1        draw to theta
138900 1        draw to delta
138996 1        draw to gamma 1
138790 1        draw to alpha
400272 1        draw to beta
138601 1        draw to eta
138730 1        draw to iota
138578 1        draw to epsilon
400272 0        move to beta
138649 1        draw to zeta
138601 1        draw to eta
000000 2        end

; Dorado

333343 0        move to gamma
333592 1        draw to alpha
334043 1        draw to zeta
354837 1        draw to beta
354937 1        draw to delta
354837 0        move to beta
355062 1        draw to unnamed
000000 2        end

; Draco

036040 0        move to nu 1
036022 1        draw to beta
036267 1        draw to gamma
036240 1        draw to xi
036040 1        draw to nu 1
036240 0        move to xi
021358 1        draw to delta
009824 1        draw to phi
020234 1        draw to zeta
019869 1        draw to eta
035254 1        draw to theta
034972 1        draw to iota
018861 1        draw to alpha
018276 1        draw to kappa
017889 1        draw to lambda
021358 0        move to delta
010315 1        draw to epsilon
009824 0        move to phi
009830 1        draw to chi
000000 2        end

; Equuleus

139808 0        move to delta
171663 1        draw to beta
171503 1        draw to alpha
000000 2        end

; Eridanus

187755 0        move to lambda
187729 1        draw to beta
187434 1        draw to omega
187297 1        draw to mu
187123 1        draw to nu
186646 1        draw to omicron 1
213659 1        draw to gamma
213360 1        draw to pi
186110 1        draw to delta
185905 1        draw to epsilon
185202 1        draw to eta
211940 1        draw to tau 1
245481 1        draw to tau 2
245730 1        draw to tau 3
246096 1        draw to tau 4
246387 1        draw to tau 5
246687 1        draw to tau 6
246961 1        draw to tau 9
247723 1        draw to upsilon 1
280424 1        draw to upsilon 2
280171 1        draw to 43
280068 1        draw to 41
279496 1        draw to g
279479 1        draw to f
307533 1        draw to e
307195 1        draw to theta
278212 1        draw to iota
306963 1        draw to s
306757 1        draw to kappa
331742 1        draw to phi
331456 1        draw to chi
331199 1        draw to alpha
000000 2        end

; Fornax

245929 0        move to alpha
278384 1        draw to beta
244617 1        draw to nu
000000 2        end

; Gemini

072938 0        move to alpha
072843 1        draw to rho
072528 1        draw to tau
096453 1        draw to epsilon
095868 1        draw to mu
095649 1        draw to eta
095324 1        draw to 1 Geminorum
096453 0        move to epsilon
096047 1        draw to nu
072194 0        move to theta
072528 1        draw to tau
097492 1        draw to iota
097726 1        draw to upsilon
097908 1        draw to kappa
097924 0        move to beta
097726 1        draw to upsilon
097380 1        draw to delta
123822 1        draw to lambda
122983 1        draw to xi
097380 0        move to delta
096982 1        draw to zeta
122774 1        draw to gamma
000000 2        end

; Grus

301949 0        move to gamma
302182 1        draw to lambda
328059 1        draw to mu 1
328298 1        draw to delta 1
328536 1        draw to beta
350542 1        draw to epsilon
350708 1        draw to zeta
327928 0        move to alpha
328536 1        draw to beta
329009 1        draw to iota
328952 1        draw to theta
000000 2        end

; Hercules

056383 0        move to iota
055508 1        draw to sigma
055199 1        draw to phi
055342 1        draw to tau
056383 1        draw to iota
080751 1        draw to theta
400231 1        draw to rho
080052 1        draw to pi
079578 1        draw to eta
079555 1        draw to zeta
079844 1        draw to epsilon
080052 1        draw to pi
079844 0        move to epsilon
104935 1        draw to beta
132244 1        draw to gamma
079844 0        move to epsilon
106324 1        draw to mu
106001 1        draw to lambda
105702 1        draw to delta
400225 1        draw to alpha
106324 0        move to mu
106802 1        draw to omicron
106582 1        draw to xi
080052 1        draw to pi
106802 0        move to omicron
106664 1        draw to 95
106829 1        draw to 102
107183 1        draw to 109
107791 1        draw to 110
135215 1        draw to 111
000000 2        end

; Horologium

308436 0        move to alpha

332074 1        draw to iota
332013 1        draw to eta
332051 1        draw to zeta
332347 1        draw to mu
353263 1        draw to beta
000000 2        end

; Hydra

262489 0        move to pi
261484 1        draw to gamma
289465 1        draw to beta
289049 1        draw to xi
258664 1        draw to beta cra
223763 1        draw to alpha cra
223512 1        draw to nu
222953 1        draw to mu
222562 1        draw to lambda
222420 1        draw to upsilon 2
222116 1        draw to upsilon 1
192393 1        draw to alpha
177936 1        draw to iota
155592 1        draw to theta
155196 1        draw to zeta
154889 1        draw to eta
154796 1        draw to sigma
154763 1        draw to delta
400124 1        draw to epsilon
155196 1        draw to zeta
000000 2        end

; Hydrus

368176 0        move to gamma
366918 1        draw to beta
353052 1        draw to epsilon
352886 1        draw to delta
352648 1        draw to eta 2
352685 1        draw to alpha
000000 2        end

; Indus

326349 0        move to alpha
349299 1        draw to theta
349835 1        draw to delta
349299 0        move to theta
348943 1        draw to beta
000000 2        end

; Lacerta

087596 0        move to 1
087555 1        draw to unnamed
063038 1        draw to 6
063250 1        draw to unnamed
063008 1        draw to 5
062818 1        draw to 2
063038 1        draw to 6
063008 0        move to 5
062905 1        draw to 4
040598 1        draw to beta
040777 1        draw to alpha
063008 1        draw to 5
000000 2        end

; Leo

099550 0        move to kappa
099651 1        draw to lambda
099836 1        draw to epsilon
099922 1        draw to mu
099550 1        draw to kappa
099922 0        move to mu
100220 1        draw to zeta
127320 1        draw to gamma 1
127121 1        draw to eta
099836 1        draw to epsilon
127121 0        move to eta
127140 1        draw to alpha
127121 0        move to eta
156093 1        draw to omicron
127121 0        move to eta
128087 1        draw to theta
400162 1        draw to iota
157768 1        draw to sigma
128087 0        move to theta
156938 1        draw to rho
128087 0        move to theta
100996 1        draw to delta
128576 1        draw to beta
100996 0        move to delta
100837 1        draw to 60
127320 1        draw to gamma 1
000000 2        end

; Leo Minor

075534 0        move to 46
075233 1        draw to beta
075005 1        draw to 21
074607 1        draw to 10
075005 0        move to 21
075214 1        draw to 30
075534 1        draw to 46
000000 2        end

; Lepus

215450 0        draw to kappa
215444 1        draw to mu
215598 1        draw to lambda
248938 0        move to beta
215925 1        draw to alpha
215444 1        draw to mu
248426 1        draw to epsilon
248938 1        draw to beta
249307 1        draw to gamma
249494 1        draw to delta
216709 1        draw to theta
216474 1        draw to eta
216268 1        draw to zeta
215925 1        draw to alpha
000000 2        end

; Libra

230451 0        move to gamma
198424 1        draw to beta
229372 1        draw to alpha 2
230451 1        draw to gamma
264451 1        draw to upsilon
264487 1        draw to tau
229372 0        move to alpha 2
263746 1        draw to sigma
000000 2        end

; Lupus

294664 0        move to theta
294523 1        draw to eta
320744 1        draw to gamma
320519 1        draw to epsilon
320330 1        draw to kappa
343507 1        draw to zeta
319805 1        draw to alpha
320091 1        draw to beta
320495 1        draw to delta
293750 1        draw to phi 1
294334 1        draw to chi
320744 0        move to gamma
320495 1        draw to delta
000000 2        end

; Lynx

074424 0        move to alpha
400135 1        draw to 38
050954 1        draw to unnamed
050530 1        draw to 31
049857 1        draw to 21
030808 1        draw to 15
030362 1        draw to 2
000000 2        end

; Lyra

057635 0        move to 13 (R)
081725 1        draw to epsilon 1
081558 1        draw to alpha
081209 1        draw to kappa
081887 1        draw to beta
082139 1        draw to gamma
082611 1        draw to theta
082545 1        draw to eta
057635 1        draw to 13 (R)
082139 0        move to gamma
081988 1        draw to delta 1
081887 0        move to beta
081740 1        draw to zeta 1
000000 2        end

; Mensa

369060 0        move to alpha
368822 1        draw to gamma
368588 1        draw to eta
368632 1        draw to beta
000000 2        end

; Microscopium

327103 0        move to theta 1
301225 1        draw to epsilon
300891 1        draw to gamma
300665 1        draw to alpha
000000 2        end

; Monoceros

191324 0        move to unnamed in Hya
191023 1        draw to zeta
190531 1        draw to alpha
191023 0        move to zeta
176744 1        draw to delta
400087 1        draw to beta
188954 1        draw to gamma
176744 0        move to delta
151262 1        draw to 18
150415 1        draw to 8
150730 1        draw to 13
400094 1        draw to 15
150730 0        move to 13
151262 1        draw to 18
000000 2        end

; Musca

371724 0        move to delta
359520 1        draw to alpha
371540 1        draw to gamma
359611 0        move to beta
359520 1        draw to alpha
359307 1        draw to epsilon
358988 1        draw to mu
000000 2        end

; Norma

321736 0        move to epsilon
344770 1        draw to gamma 1
344876 1        draw to gamma 2
321310 1        draw to eta
000000 2        end

; Octans

377680 0        move to delta
375094 1        draw to nu
378712 1        draw to epsilon
378770 1        draw to beta
377680 1        draw to delta
000000 2        end

; Ophiuchus

266959 0        move to 51
266866 1        draw to 44
266753 1        draw to theta
266721 1        draw to xi
232699 1        draw to eta
231915 1        draw to zeta
231795 1        draw to phi
265490 1        draw to psi
265642 1        draw to omega
231915 0        move to zeta
163313 1        draw to kappa
133563 1        draw to alpha
164476 1        draw to beta
163313 1        draw to kappa
164476 0        move to beta
200658 1        draw to unnamed
232699 1        draw to eta
164476 0        move to beta
164596 1        draw to gamma
164987 1        draw to 67
165145 1        draw to 70
163313 0        move to kappa
400217 1        draw to lambda
199508 1        draw to epsilon
000000 2        end

; Orion

122068 0        move to xi
095316 1        draw to chi 2
095062 1        draw to chi 1
121940 1        draw to nu
122068 1        draw to xi
149808 1        draw to mu
149643 1        draw to alpha
400076 1        draw to zeta
188455 1        draw to kappa
187839 1        draw to beta
175888 1        draw to delta
148916 1        draw to gamma
149643 1        draw to alpha
149166 0        move to lambda
149063 1        draw to 32
148916 0        move to gamma
148020 1        draw to pi 3
148064 1        draw to pi 4
148148 1        draw to pi 5
148255 1        draw to pi 6
148020 0        move to pi 3
148045 1        draw to pi 2
120382 1        draw to pi 1
000000 2        end

; Pavo

348537 0        move to alpha
364757 1        draw to beta
364728 1        draw to upsilon
374450 1        draw to epsilon
373937 1        draw to zeta
362896 1        draw to eta
363162 1        draw to pi
363303 1        draw to xi
363636 1        draw to lambda
364428 1        draw to delta
364757 1        draw to beta
365174 1        draw to gamma
000000 2        end

; Pegasus

172188 0        move to epsilon
141743 1        draw to zeta
172728 0        move to theta
141743 1        draw to zeta
141833 1        draw to xi
114048 1        draw to iota
140020 0        move to 1
113505 1        draw to kappa
114048 1        draw to iota
140574 1        draw to 9
114048 0        move to iota
114805 1        draw to lambda
087465 0        move to pi
088121 1        draw to eta
114859 1        draw to mu
114805 1        draw to lambda
142158 1        draw to alpha
141833 1        draw to xi
173762 0        move to 55
142158 1        draw to alpha
173557 0        move to rho
142158 1        draw to alpha
116243 1        draw to gamma
089441 1        draw to alpha And
115095 1        draw to beta
142158 1        draw to alpha
115095 0        move to beta
116243 5        draw dotted to gamma
000000 2        end

; Perseus

028916 0        move to lambda
029054 1        draw to b Per
046912 1        draw to mu
046825 1        draw to 48
046457 1        draw to delta
046366 1        draw to psi
046127 1        draw to alpha
028201 1        draw to gamma
028039 1        draw to eta
028080 1        draw to tau
028201 1        draw to gamma
028080 0        move to tau
