/Constellations/ConstellationFigures/dhmenz11/DHMENZEL.TXT
1 4742	8239024201 1        draw to sigma
0 4466	8976053831 0        move to lambda
1 4637	8242034781 1        draw to rho
1 4742	8239024201 1        draw to sigma
1 4818	8240027241 1        draw to gamma
1 5131	8663029291 1        draw to epsilon
1 5266	9005039191 1        draw to beta
0 5458	9007058491 0        move to alpha
1 5131	8663029291 1        draw to epsilon
1 5230	8267035451 1        draw to zeta
1 5189	7797027441 1        draw to nu
//1 7792023931	7792023931 1        draw to d
1 5027	7275020741 1        draw to iota
//1 7270023991	7270023991 1        draw to 1
//1 7283021001	7283021001 1        draw to 3
//0 7270023991	7270023991 0        move to 1
//1 7287018911	7287018911 1        draw to 2
0 5575	7828035201 0        move to kappa
1 5439	7814037061 1        draw to eta
1 5247	7798028481 1        draw to phi
1 5189	7797027441 1        draw to nu
0 4818	8240027241 0        move to gamma
1 5230	8267035451 1        draw to zeta
1 5248	8263034191 1        draw to upsilon 2
1 5247	7798028481 1        draw to phi
1 5284	7807026741 1        draw to chi
1 5366	7805026961 1        draw to psi
1 5287	7293022151 1        draw to theta
1 5189	7797027441 1        draw to nu
0 8237	4465026431 0        move to beta
1 8973	4606035841 1        draw to gamma
1 8693	4277011021 1        draw to iota
1 8237	4465026431 1        draw to beta
1 8161	4252018701 1        draw to alpha
1 7956	4246019671 1        draw to eta
1 7849	4237021681 1        draw to theta
0 8161	4252018701 0        move to alpha
1 8315	3979016161 1        draw to mu
1 8493	3990024311 1        draw to epsilon
1 8464	3981015901 1        draw to zeta
1 8570	3995014791 1        draw to delta
1 8693	4277011021 1        draw to iota
0 8333	4262022791 0        move to nu
1 8464	3981015901 1        draw to zeta
0 803	0050017211 0        move to gamma
1 648	0632014911 1        draw to xi 2
1 812	0643009371 1        draw to mu
1 895	0641009851 1        draw to lambda
1 910	0058016181 1        draw to alpha
1 803	0050017211 1        draw to gamma
//1 0046016331	0046016331 1        draw to dleta
1 680	4693011441 1        draw to omicron
1 538	5278024371 1        draw to zeta
0 584	5858020531 0        move to upsilon
1 508	5855022921 1        draw to tau
1 538	5278024371 1        draw to zeta
1 401	5274019841 1        draw to theta
1 333	5273026571 1        draw to eta
1 73	5261010841 1        draw to iota
1 187	5847023331 1        draw to beta
1 508	5855022921 1        draw to tau
0 333	5273026571 0        move to eta
1 187	5847023331 1        draw to beta
0 3317	9398027141 0        move to alpha
